Step,ObjectName,Description,Action,Input,Condition,Reference
1,btn_Search,"Wait for [<Object>] to be clickable ",waitForElementToBeVisible,,,ContactLookup
2,txt_MGM_Rewards,Enter the value [<Data>] in the Field [<Object>],Set,ContactLookup:RewardsSearch,,ContactLookup
3,Browser,Wait for [<Data>] milli seconds,pause,@1000,,
4,txt_Email,Enter the value [<Data>] in the Field [<Object>],Set,ContactLookup:EmailSearch,,ContactLookup
5,Browser,Wait for [<Data>] milli seconds,pause,@1000,,
6,txt_PhoneNumber,Enter the value [<Data>] in the Field [<Object>],Set,ContactLookup:PhoneSearch,,ContactLookup
7,Browser,Wait for [<Data>] milli seconds,pause,@3000,,
8,btn_Search,Clear the element [<Object>],clickByJS,,,ContactLookup
9,Browser,Submit action on the browser,pause,@15000,,ContactLookup
