Step,ObjectName,Description,Action,Input,Condition,Reference
1,Browser,Scroll to page,scrollToRight,,,
2,txt_ATT(crop)_col,Assert if [<Object>] is present,assertElementPresent,,,Tasks_View
3,txt_ATT(crop)_col,Highlight the element [<Object>],highlight,,,Tasks_View
4,btn_Edit_Coulmn_Filter,"Click the [<Object>] ",clickByJS,,,Contacts_View
5,Browser,Wait for [<Data>] milli seconds,pause,@8000,,
6,txt_ATT_after_clicking_filter_button,Assert if [<Object>] is present,assertElementPresent,,,Tasks_View
7,txt_ATT_after_clicking_filter_button,Highlight the element [<Object>],highlight,,,Tasks_View
8,btn_Cancel_Edit_Column,"Click the [<Object>] ",Click,,,Contacts_View
9,Browser,Wait for [<Data>] milli seconds,pause,@2000,,
