Step,ObjectName,Description,Action,Input,Condition,Reference
1,Browser,"Creating Random Variable ",MSCRM_OpenSitemapSubArea,@Tasks,,
2,Browser,Wait for [<Data>] milli seconds,pause,@6000,,
3,txt_FilterByKeyword,Enter the value [<Data>] in the Field [<Object>],Set,%Subject%,,Tasks_View
4,Browser,Wait for [<Data>] milli seconds,pause,@3000,,
5,btn_Arrow,"Click the [<Object>] ",Click,,,Tasks_View
6,Browser,Wait for [<Data>] milli seconds,pause,@2000,,
7,Browser,"Creating Random Variable ",VerifyRandomElementIsPresent,%Subject%,(//div/span[text()=';'])[2],
8,Browser,"Creating Random Variable ",VerifyRandomElementIsPresent,%Subject%,(//div/span[text()=';'])[1],
